License Number,Street Number,Street Name,City,State,Zip Code,Square Footage
708342,2271,MCDONALD AVE                ,BROOKLYN          ,NY,11223,40000
710459,195,NEPTUNE AVE                  ,BROOKLYN          ,NY,11235,2500
703808,5113,7TH AVE                     ,BROOKLYN          ,NY,11220,900
706380,25,N 5TH ST                  ,BROOKLYN          ,NY,11249,100
714037,470,GATEWAY DR UNIT 5        ,BROOKLYN          ,NY,11239,10000
15821,,TEST                             ,TEST              ,NY,12205,12345
707205,1604,AVENUE M                    ,BROOKLYN          ,NY,11230,1400
610641,7214,18TH AVE                    ,BROOKLYN          ,NY,11204,1500
10618,,EMPIRE STATE PLAZA CORNING     ,ALBANY            ,NY,12223,550
670984,218,MYRTLE AVE           ,BROOKLYN          ,NY,11201,10000
706497,6101,5TH AVE                     ,BROOKLYN          ,NY,11220,1500
614965,1251,UTICA AVE                   ,BROOKLYN          ,NY,11203,1000
706445,2714A,BEVERLEY RD                ,BROOKLYN          ,NY,11226,500
710890,1632,DEKALB AVENUE               ,BROOKLYN          ,NY,11237,400
10448,,RT 9W FAITH PLAZA            ,RAVENA            ,NY,12143,4500
702033,5910,GLENWOOD RD                 ,BROOKLYN          ,NY,11234,1000
714403,2847,W 8TH ST                ,BROOKLYN          ,NY,11224,0
706605,1091,BEDFORD AVE                 ,BROOKLYN          ,NY,11216,1400
10454,329,TOWN SQUARE PLAZA    ,GLENMONT          ,NY,12077,57000
714624,70,4TH AVE                       ,BROOKLYN          ,NY,11217,0
670830,5119,4TH AVE                     ,BROOKLYN          ,NY,11220,1000
709238,576,ATLANTIC AVE                 ,BROOKLYN          ,NY,11217,1300
670454,3419,FULTON ST                   ,BROOKLYN          ,NY,11208,500
710346,5901,18TH AVE                    ,BROOKLYN          ,NY,11204,900
619927,4709,13TH AVE                    ,BROOKLYN          ,NY,11219,1000
671016,9415,CHURCH AVE            ,BROOKLYN          ,NY,11212,5000
672075,755,5TH AVE                ,BROOKLYN          ,NY,11232,500
614273,1094,HANCOCK ST                  ,BROOKLYN          ,NY,11221,1000
702575,574,BROADWAY                     ,BROOKLYN          ,NY,11206,1500
715054,34,"35TH ST, 6TH FLOOR        ",BROOKLYN          ,NY,11232,200
704365,5710,5TH AVE                     ,BROOKLYN          ,NY,11220,500
670646,2186,BEDFORD AVE                 ,BROOKLYN          ,NY,11226,500
672122,151,COURT ST                     ,BROOKLYN          ,NY,11201,1700
711666,367,A BROADWAY                   ,BROOKLYN          ,NY,11211,600
708463,5001,6TH AVE                     ,BROOKLYN          ,NY,11220,1600
671594,1055,BLAKE AVE                   ,BROOKLYN          ,NY,11208,1000
710259,716,KNICKERBOCKER AVE            ,BROOKLYN          ,NY,11221,1200
709678,150,MYRTLE AVE             ,BROOKLYN          ,NY,11201,0
708932,334,UTICA AVE                    ,BROOKLYN          ,NY,11213,2000
714520,249,AVENUE X                     ,BROOKLYN          ,NY,11223,2000
707082,19,SACKMAN ST                    ,BROOKLYN          ,NY,11233,800
708713,784,MARCY AVE                    ,BROOKLYN          ,NY,11216,1500
705921,1208,NOSTRAND AVE                ,BROOKLYN          ,NY,11225,800
709196,144,NEPTUNE AVE                  ,BROOKLYN          ,NY,11235,1300
713336,1239,FULTON ST             ,BROOKLYN          ,NY,11216,1800
618109,85-20,20TH AVE                   ,BROOKLYN          ,NY,11214,700
702013,1612,NEWKIRK AVE                 ,BROOKLYN          ,NY,11226,1200
713245,32-49,FULTON ST                  ,BROOKLYN          ,NY,11208,1000
714434,4902,7TH AVE                     ,BROOKLYN          ,NY,11220,800
706209,521,KINGS HIGHWAY                ,BROOKLYN          ,NY,11223,15000
10723,,AGY 3 & 4 EMPIRE STATE PLAZA   ,ALBANY            ,NY,12223,400
702596,161,SARATOGA AVE                 ,BROOKLYN          ,NY,11233,1000
708007,379,ELTON ST                     ,BROOKLYN          ,NY,11208,0
619760,7005,18TH AVE                    ,BROOKLYN          ,NY,11204,1700
670724,441,SUTTER AVE                   ,BROOKLYN          ,NY,11212,1000
709818,5101,6TH AVE                     ,BROOKLYN          ,NY,11220,1600
706764,502,LORIMER ST               ,BROOKLYN          ,NY,11211,1400
706586,944,4TH AVE                      ,BROOKLYN          ,NY,11232,700
671943,4901,4TH AVE                     ,BROOKLYN          ,NY,11220,1700
710736,164,WALLABOUT ST           ,BROOKLYN          ,NY,11206,2600
670035,781,E 31ST ST                    ,BROOKLYN          ,NY,11210,6000
703594,116,NASSAU AVE                   ,BROOKLYN          ,NY,11222,1800
701952,112,MOFFAT ST                    ,BROOKLYN          ,NY,11207,1400
15180,1093,RT 9                        ,COHOES            ,NY,12047,1800
